id,speaker,text,choices,model_type,start_node,initial_flags,initial_resources,initial_variables,settings_presentation
"desk","","Midnight is close. Your editor needs a playable short story, not another planning board. Focus: {focus} | Evidence: {evidence} Lead: {lead_name}","[{""id"":""open_notebook"",""text"":""Open the old notebook"",""target"":""notebook"",""effects"":[{""type"":""setFlag"",""key"":""found_hook"",""value"":true},{""type"":""addResource"",""key"":""evidence"",""delta"":1},{""type"":""setVariable"",""key"":""lead_name"",""value"":""the clocktower bell""}]},{""id"":""listen_alley"",""text"":""Listen to the alley outside"",""target"":""alley"",""effects"":[{""type"":""addResource"",""key"":""focus"",""delta"":-1},{""type"":""setVariable"",""key"":""lead_name"",""value"":""the rain signal""}]}]","adventure-playthrough","desk","found_hook=false;trusted_mira=false;ai_draft_adopted=false","focus=2;evidence=0","lead_name=the missing bell;draft_status=unwritten","{""defaultTransition"":""append-scroll"",""paragraphDelay"":60,""transitionDuration"":180}"
"notebook","","The notebook has one usable hook: {lead_name}. A margin note says Mira heard it first. {?found_hook:The story finally has a spine.}","[{""id"":""interview_mira"",""text"":""Interview Mira"",""target"":""mira"",""effects"":[{""type"":""setFlag"",""key"":""trusted_mira"",""value"":true},{""type"":""addResource"",""key"":""evidence"",""delta"":1}]},{""id"":""draft_scene"",""text"":""Draft a brave scene"",""target"":""drafting"",""effects"":[{""type"":""addResource"",""key"":""focus"",""delta"":-1}]}]",,,,,,
"alley","","Rain taps the fire escape in a three-beat code. The city answers with {lead_name}.","[{""id"":""follow_footprints"",""text"":""Follow the wet footprints"",""target"":""archive"",""effects"":[{""type"":""addResource"",""key"":""evidence"",""delta"":1}]},{""id"":""return_to_notebook"",""text"":""Return to the notebook"",""target"":""notebook""}]",,,,,,
"mira","Mira","""I heard {lead_name} after the archive lights went out,"" Mira says. Trust: {trusted_mira}","[{""id"":""ask_key"",""text"":""Ask Mira for the archive key"",""target"":""archive"",""conditions"":[{""type"":""flag"",""key"":""found_hook"",""value"":true}],""effects"":[{""type"":""addResource"",""key"":""evidence"",""delta"":1}]},{""id"":""promise_discretion"",""text"":""Promise to keep her name out"",""target"":""quiet_room"",""effects"":[{""type"":""setFlag"",""key"":""trusted_mira"",""value"":true},{""type"":""addResource"",""key"":""focus"",""delta"":1}]}]",,,,,,
"drafting","","The scene is still thin. You can either accept a mock AI continuation into the graph or publish a fragment. Draft: {draft_status} {?ai_draft_adopted:The generated scene is already connected.}","[{""id"":""use_mock_ai"",""text"":""Use the mock AI continuation"",""target"":""ai_mock_scene"",""effects"":[{""type"":""setFlag"",""key"":""ai_draft_adopted"",""value"":true},{""type"":""setVariable"",""key"":""draft_status"",""value"":""mock scene adopted""}]},{""id"":""cut_short"",""text"":""Cut the scene short"",""target"":""rushed_end""}]",,,,,,
"ai_mock_scene","","Mock continuation: a lantern under the archive stairs repeats {lead_name} in a child's handwriting. It is not final prose, but it is now a reachable node.","[{""id"":""connect_ai_archive"",""text"":""Connect the generated clue to the archive"",""target"":""archive"",""effects"":[{""type"":""addResource"",""key"":""evidence"",""delta"":2}]}]",,,,,,
"archive","","The archive shelves are locked by habit more than steel. Evidence: {evidence} | Focus: {focus}","[{""id"":""decode_ledger"",""text"":""Spend focus to decode the ledger"",""target"":""reveal"",""conditions"":[{""type"":""resource"",""key"":""evidence"",""op"":"">="",""value"":2},{""type"":""resource"",""key"":""focus"",""op"":"">="",""value"":1}],""effects"":[{""type"":""addResource"",""key"":""focus"",""delta"":-1}]},{""id"":""take_obvious_answer"",""text"":""Take the obvious answer"",""target"":""false_end""}]",,,,,,
"quiet_room","","Mira gives you a quiet room and one sentence she will not repeat: ""The bell was a warning, not a ghost.""","[{""id"":""call_mira_back"",""text"":""Call Mira back into the story"",""target"":""reveal"",""conditions"":[{""type"":""flag"",""key"":""trusted_mira"",""value"":true}],""effects"":[{""type"":""addResource"",""key"":""evidence"",""delta"":1}]},{""id"":""leave_quiet"",""text"":""Leave the quiet room unresolved"",""target"":""rushed_end""}]",,,,,,
"reveal","","The ledger proves {lead_name} marked the night the mayor erased the flood records. Evidence: {evidence} {?evidence>=3:You have enough proof to publish.}","[{""id"":""publish_with_proof"",""text"":""Publish with proof"",""target"":""truth_end"",""conditions"":[{""type"":""resource"",""key"":""evidence"",""op"":"">="",""value"":3}]},{""id"":""publish_as_rumor"",""text"":""Publish as rumor"",""target"":""false_end""}]",,,,,,
"truth_end","","Ending: the story runs with receipts. By dawn, readers can play the path from hook to proof and reload the save without losing the thread.","[]",,,,,,
"false_end","","Ending: the story reaches an answer, but without enough evidence it reads like a rumor. The playable route exposes the missing structure.","[]",,,,,,
"rushed_end","","Ending: the fragment is readable but thin. It proves the tool can finish a path, while showing where the writer must return.","[]",,,,,,
